label,filename,author,poem
AntonGiacomoCorso_1,"AntonGiacomoCorso_Dentro, e d_intorno.txt",AntonGiacomoCorso,Dentro e d intorno a i piu famosi colli De la citta che l Tebro hor cinge hor parte Tutto si vede il buon popol di Marte Per novo aspro dolor con gli occhi molli Chi di pianger fia mai che si sattolli S ode in suon mesto in questa e quella parte De le sacre roine in terra sparte Da stanchar mille Muse e mille Apolli Morte ha morto il gran padre il gran splendore L altera luce il chiaro lume ha spento De l alte mura gloriose tanto Misero gregge senza il tuo Pastore PAOLO e morto e tu provi il tormento De l inferno il martir la pena e il pianto
AntonGiacomoCorso_2,AntonGiacomoCorso_Di poggio in poggio.txt,AntonGiacomoCorso,Di poggio in poggio e d un in altro monte Hor che di Leda i figli A scaldar torna il padre di Phetonte E che adornan la terra Gli arbor le fronde i fior gli arbusti e l herbe Ne i piu elevati lor gioghi soperni I miei dolori interni L aspre mie pene acerbe Che da gli occhi d humor mi tranno un fonte Men vo sfogando e gli amaranti e i gigli Per si bianchi Vermiglio A cui con lieta fronte Muove nel suo spirar Zeffiro guerra Soavemente dal mio pianto molli Rendon men vaghi e men leggiadri i colli Onde con le sorelle Pasithea E l gran Padre d Orfeo Ne chi de l altre piaggie il fren reggea Non veggio allegri in guisa Che un tempo vidi a queste Rive intorno L aria l acqua la terra e l ciel non hanno L usata gratia e stanno Come allhor che ritorno Apollo fa nel pesce in cui la Dea Del terzo ciel trasformar l ira feo Del superbo Thifeo Primavera credea La neve havendo flora sua conquisa Triomphar lieta la staggion novella Ma mesta langue in questa parte e in quella Benche quando spogliati e d honor privi Eranno i campi e i boschi Cosi thravan da gli occhi eterni Rivi Amor poi che i bei lumi Volgesti a contemplar lor propria luce Lasciando oscuri i miei gelati e spenti Questi gravi tormenti Che tua merce conduce La mente insana a gli spirti mal vivi Che involti in rei pensier torbidi e foschi Pieni d amari toschi Stupidamente schivi Prendon dal cuor per che l mortal consumi L alta virtu menistra della vita Ben da noi con ragion tanto gradita Languir indegno ingiusto aspro dolore Premio della mia fede Voglion dunque che sia mia stella e amore Mirtilo avaro e empio S hebbe rio guidardon del suo servire Dal genitor d Atreo per Hippodamia Fu degno oltre l infamia Eterna di morire Si fu poca la pena al molto errore Celleno Aheno Occipite che tanto Phineo tennero in pianto Non di doglia maggiore Opresse quello ch or si faccia scempio Di questi spirti miei donna crudele Sol per essere ohime troppo fedele O scurissima benda humida nera Tenebrosa e infernale Opra d Aletto iniqua e di Megera D ira d oddio d inganni Ordita tutta e sol di sangue tinta Turbatrice di pace e di riposo Tiene il mio sole ascoso E ogni mia speme cinta Per che piangendo e sospirando i pera Onde quest alma poi stringe e assale De l empie Dee del male L altra sorella fera Con la face crudel colma d affanni E de serpi la cinge onde gia stanca Fra gielo e fiamma a poco a poco manca Cerco forse acquetar l alta mia pena Canzon di doglia piena Per lamentarmi ahi lasso Se l di lei ragionar doppia il tormento Dunque se per parlar cresce il martire Tacendo amando e assai meglio morire
AntonGiacomoCorso_3,AntonGiacomoCorso_Fugge al primo.txt,AntonGiacomoCorso,Fugge al primo apparir la Bianca Aurora Perdon le stelle e l Ciel gratia e splendore Di questa immortal Dea figlia d Amore D Amor che i suo bei rai pinge e colora Si di lume maggior l aer indora Tanto ne porta a noi luce maggiore Con gli occhi suoi ch ogni gelato cuore Ogni fredd alma accende arde e inamora A Izan soperbi al ciel l altere fronti In Riva al Bacchiglion gli amici colli De la chiara Leona alto ornamento Ridon con dolce aspetto i vaghi monti Gia del crudo Ezzelin di sangue molli E fan de l acque il suo dolce concento
AntonGiacomoCorso_4,AntonGiacomoCorso_GOMBI.txt,AntonGiacomoCorso,GOMBI se l Desio e il Sille i campi ameni Che in lungo spacio circodado intorno Fanno il sen d Adria riccamente adorno Rendan sempre di fiori e frutti pieni Deh venite i begli occhi almi e sereni Di CLORI mia a veder ch invidia e scorno Fanno al gran lume che ne guida il giorno E in qual guisa morir lieto mi meni Che se al vostro apparir non veggio ch ella O Tregua o fine pongha a la mia doglia Diro ben c habbia il cuor di Tigre o d orso Ma non credero mai che a le parole E al sembiante di voi non cangi voglia E che pace non doni al miser CORSO
AntonGiacomoCorso_5,AntonGiacomoCorso_L_Arso sentier.txt,AntonGiacomoCorso,L Arso sentier che le piu chiare stelle Offusca si che l Ciel gran spatio adombra Per cui Climene ogn hor di pianto ingombra Le Guancie e del gran Po le piaggie belle Ecco che no l vedran l alme sorelle Di Phetonte MOLIN cosi pien d ombra Poi chel nostro Trifon le nebbie sgombra Con la sua luce in queste parti e n quelle Onde con le lor chiome hirsute e sparse Che in duro legno aspro dolor gia involse Faran liete addolcir l aria serena Phebo hor potra ben dir s unqua mi dolse Del mio audace figliuol l antica pena Posso e l mondo puo anchor meco allegrarse
AntonGiacomoCorso_6,AntonGiacomoCorso_Mentre voi sete.txt,AntonGiacomoCorso,Mentre voi sete intento a lodar sempre Le mie fiamme che v ardeno il cuore E che piangendo ringratiate Amore Quantunque vi consumi e vi distempre Mirate Signor mio se l duol vi tempre Quella che tien di voi tutto il migliore Qual de le nostre fia fiamma maggiore E qual di noi viva in piu amare tempre Che forse il lungo mio grave languire Non che l agguagli altra ben empia sorte Direte o infernal fero aspro martire Ma che via piu crudel spietato e forte Sia che l vostro penar piu del morire Se cosa dir si puo peggior che morte
AntonGiacomoCorso_7,AntonGiacomoCorso_New_Canzone_Chiaro e grato splendore.txt,AntonGiacomoCorso,Chiaro e grato splendore Che cosi piace a la bonta superna La temperanza interna De gli Elementi fuore Partorisce e cagion n e sol amore Ne le pietre piu care Che d Oriente a noi vengon si rare Frutti soavi e fiori Varie frondi un secondo occulto seme Che al terren tutt insieme Suol donar sommi honori Fa che mai sempre a le stagion megliori Producan l herbe e quante Scorge qua giu l eterno lume piante Vaga e gioconda vista Rende chiunque di terrestre salma Si sente gravar l alma Che fra linee acquista Una bel ombra d ogni color mista Sol per certa virtute D un humor c hanno in lor pien di salute Divino alto ornamento Cinto d honesta vera in le parole Ch a legar l alme suole Al dolce lor concento Mostra tenendo a Dio lo spirto intento Quella virtute ascosa Che ne l miglior di noi siede e riposa Di chiarissimi lumi Dal sopremo Dator di tutt i beni Quei cerchi ornati e pieni Qualor da lor fonti i fiumi De pure corpi a fin che l tutto allumi La sua Divina luce Son vestiti onde il ciel splende e riluce Cosa bella e perfetta In Cielo in terra in foco in l aria in l onda Non e che quanto asconde Di dentro fuor non metta Et e quel ben che a noi piace e diletta Qual chiuso raggio in vetro Che adorna e illustra ogn aer fosco e tetro Onde quella bontate E quest altra bellezza il mondo chiama Per la seconda s ama La prima e nel amate Parti s allettan tutte le create Vicine cose in guisa Che ne l una da l altra e mai divisa E dove piu honorata Mentre si scorgon che nel bel sembiante E nelle luci sante De la mia Donna amata Per bellezza e bonta piu che beata Queste doti celesti Che tengan al ben far gli animi desti Cagion dunque mi muove Giusta a sprezzar me stesso e honorar lei Me medesmo perdei Lieto vivendo altrove Ornando il cor di gratie altere e nuove Anzi acquistai due vite Felice e a voi mio sol tanto gradite O mia beata sorte Ceda pur ogni gioia a tal languire Poi che vita e il morire O ben felice morte Che m ergi al cielo con si fide scorte Con voi giocondo e lieto Per una morte mille vite mieto Per che torni gentile Di cosi rozza bassa inculta e vile Resta canzone in seno Del mio ben si salute e d amor pieno Se i vostri TORNIELLO alti honor veri Spiegano le lor glorie in parte conte Su l fiume altier che mal vidde Phetonte Degno e ben che per voi Phebo assai speri Questi gia triomphanti lidi hesperi E questo quasi oscur nostro orizonte Alza superbo ogn un per noi la fronte Cangiando in lieti i di torbidi e neri Onde dal Gange a l aspra e piu rimota Gente di Scitia homai la fama vola De le vostre ricchezze un tempo ascose La ben purgata rima unica e sola De merti eterni non andra mai vuota Ne le dolci di voi note amorose
AntonGiacomoCorso_8,AntonGiacomoCorso_New_Canzone_Quella belta che lusingando tira.txt,AntonGiacomoCorso,Quella belta che lusingando tira Sol in virtu d amore Ad amare a languir chiunque mira Quanto leggiadramente appar di fuore In alta piu che angelica beltate Move hor donna con sdegno e crudeltate Per gli occhi un foco che m accende il core Con si soave inganno Che m e gioia ogni affanno Onde l alma per lei piange e sospira Et al suo mal fra molti mali aspira Non punto men di quel scioccho animale Che fugge ogn hora il ben seguendo il male Utile dunque il danno Anima trista il danno utile io tegno Ond uguale al mio error pena sostegno Non e bello quel bello che si vede Ne i lumi di colei Che fan di me si dolorose prede Bello e quel che non veggion gli occhi miei Che terrena belta copre e asconde Anzi ombra ch ogni ben preme e confonde Segui quel van desir quei pensier rei Di cure basse vaghi Alma pur che t appaghi D haver d alto servir bassa mercede Ma cosi va chi a la ragion non crede Lascia cieca al voler libero il freno Sin che ferro crudel mortal veneno Tutto struggendo impiaghi Quel che nascendo in noi di troppo ardire Nacque il fero pensier l empio desire Cangia l usato homai perverso stile Arma di ghiaccio il petto Sprezza di questo amor l esca e l focile Il sincero gradisci intorno affetto Di quel santo benigno antico Dio Che d honesto piacer pasce il desio Quel ne dona martir questo diletto L un vita alma e serena L altro tormento e pena Leva il giogo da gli homeri si vile E torna homai qual pria saggia e gentile Ma lasso il gran desio che mi die forza Hor m abbandona ond a tacer mi sforza Quel dolor che mi mena Nanzi il mio tempo al fine del mio corso Perche piangendo invan chiegga soccorso Men danno era canzone Coprir l aspra passione Che scoprendola haver doglia maggiore Quanto stato saria men grave errore Tacendo amando abbreviar quest anni Che parlando avanzar giorni e affanni Fuggi almen le persone Di pace amiche e va di terra in terra Gridando sempre guerra guerra guerra
AntonGiacomoCorso_9,AntonGiacomoCorso_New_Canzone_Questa si mesta.txt,AntonGiacomoCorso,Questa si mesta e dolorosa vita Che non posa o si ferma a guisa d onda Raporta hor quici hor quidi entro al mio core DOLCE l amato e dilettoso tempo Che lieto mi godea l alto mio sole Onde provo vivendo un aspra morte Prima vorrei che interompesse morte Quest anni ohime che in questa amara vita Viver noiando il Ciel la luna il sole E misurar le piagge e solcar l onda Nemica al mio soave e caro tempo Con questo travagliato tristo core Perche so ben che l rio pensier che il core Sempre tien desto condurami a morte Ma non gia qual vorrei cosi per tempo Che mi sarebbe una felice vita Per non esser qual sono in mar un onda Raggirata da venti e un ghiaccio al sole Apena nascie in oriente il Sole Che l alma afflitta il tormentato core Qual disarmato legno assalisc onda Son combattuti da fortuna e morte Cui priego che l mio corso de la vita Al suo sin guidi almen nanzi il suo tempo Di pensier in pensier di tempo in tempo Quando a noi torna e quando parte il sole A poco a poco la noiosa vita Languendo amanca e gia la mente e l core Scorge la disiata e cruda morte Come si vede in mar turbato un onda Qual duro scoglio che non teme l onda Che lo percuote intorno d ogni tempo Tal quella sorda e disdegnosa morte Non teme ripensando a quel bel sole Ch era lume vital gia del mio core La quasi spenta e miserabil vita Poi che mia vita si assomiglia a morte E che sempre il mio cor e quasi un onda Non mi par tempo di vedere il sole
AntonGiacomoCorso_10,AntonGiacomoCorso_New_Canzone_Restate onde infelici.txt,AntonGiacomoCorso,Restate onde infelici Che girando bagnate i campi alteri E le superbe mura Della chiara del mar Donna e Reina De portar si sovente Le ricche prede a invaghi stagni amici Da gli almi colli aprici Che ornan d Adria il bel seno Adria gloria maggior de i lidi Hesperi E con sdegnosa fronte horrida oscura Turbate il bel seren gli paschi intieri De i vostri salsi cristallini humori Coprendo il ciel di nubilosi horrori Scquamosi spirti e voi Che sortiste nel mar gli alti soggiorni Leggiadre Nimphe liete Cangiate stile e in dolorosi accenti Sfocando il grave affanno Dite o ciel empio aspro nemico a noi Come consentir puoi Che si miseramente Meniam sempre in dolor le notti e i giorni Voi fiumi e voi che in man l arbitrio havete Di queste rive gli ornamenti adorni Di color mille homai mesti spogliate E ignudi di languir sempre imparate Nettun gran Padre eterno De i regni molli e tu madre Amphitrite Tu Dorida e voi figlie Di Nereo tanto al duol lentate il freno Ch ei regga solo il mare Con tempestivo e tenebroso verno Tal che nel cieco inferno E nel ciel s oda il suono Del acque e voi sirene egre e smarrite Con mesta voce e con turbate ciglie Ahi crudel sorte ahi fera stella dite Come il nostro piacer la gioia e l canto Tosto in sospir ne rivolgeste e in pianto Poi che morte v ha tolto Quanto dar ne puo il ciel tutto le stelle D humano e di gentile Grave pompa alto honor chiaro splendore De i vostri humidi alberghi Ove gran cortesia con amor molto Tenean mai sempre accolto Un dolce almo disire Di far opre leggiadre honeste e belle Uguali al suo valor santo e humile Fugga Favonio Aquilon surge e quelle Horribil furie Eoliche nel onde Scuoprin le vostre pene alte e proffonde Gloriosi figliuoli Del gran leon che l mar preme e la terra D Italia honor e spene Mirate il vostro gran publico danno Honorato VITURI Tu che la fama a i piu famosi involi Via piu d ogn altro in duoli Vivendo biasmar dei Quella che l nostro ben post ha sottoterra Che per molte ragion ben si conviene Ala tua fede o mondo rio com erra Chi in te pensa trovar mai requie o pace Perfido sempre misero e fallace Canzon tosto n andrai Al honorato e virtuoso stuolo Che soleva gradir l alma cortese Al qual ohime dolente hoime dirai Se voi vivete lagrimando in duolo il CORSO piange sconsolato e solo
AntonGiacomoCorso_11,AntonGiacomoCorso_New_Da mortal basso.txt,AntonGiacomoCorso,Da mortal basso oscuro carcer sei Ad alto albergo chiaro e immortale Salita anima bella e al merto uguale Il premio merchi dal gran Re dei Dei Da tante noie oltraggi e mille rei Travagli sciolta allegra e triomfale Fuor di sospetti in tanta gloria e tale Godi beata quattro volte e sei Da breve lasso misera e dolente A felice gioconda eterna vita Spiegasti il santo e honorato volo Onde qual nuovo sol vago e lucente Cinta di somma luce alta e infinita Rischiari il ciel da l uno a l altro polo
AntonGiacomoCorso_12,AntonGiacomoCorso_New_Di quanti hebbe il natio nostro paese.txt,AntonGiacomoCorso,Di quanti hebbe il natio nostro paese Chiari giusti Divini almi Pastori Di quante palme e gloriosi honori Hebber nel altre lor fammose imprese Di voi piu saggio unqua non vide o intese Opre d altro suo Prencipe migliori DI voi Padre de i padri suoi maggiori Donato a noi dal ciel largo e cortese Non sparta Thebe Roma Athene od Argo Duchi Prencipi Regi illustrar tanto Quanto Vinegia voi Francesco altero Ben puote Adria tallhor con gli occhi d Argo Mirarvi intento e dir con dolce canto Ceda al mio Doge pur Cesare e Pietro
AntonGiacomoCorso_13,AntonGiacomoCorso_New_Dolce la dove l_un duce Troiano.txt,AntonGiacomoCorso,DOLCE la dove l un duce Troiano Ritenne il corso e d alte mura cinse L Euganeo fiume che di sangue tinse Sovente aspra crudel barbara mano Piangendo venni e hor qui nel bel piano Ove armata di speme il dolor spinse L alma che quasi del suo nodo scinse Fatale empio distin noioso e strano Sento il grave martir scemare in parte Che l angoscioso pie languido tiene Ne l licor che mostro Lico a Sileno Et veggio quel che d Esculapio l arte Unqua non vide in queste piagge amene Tutto di gioia e mareviglia pieno
AntonGiacomoCorso_14,AntonGiacomoCorso_New_Eran de folte nebbie.txt,AntonGiacomoCorso,Eran de folte nebbie oscure e adre Gli desiri i pensier la mente e l cuore Ripieni si che l bel sentier d honore Chiudean loro infernali e horribil squadre Quando il signor e d ogni cosa padre Mosse un raggio ver me del suo splendore Che l tutto sereno dentro e di fuore Qual la luce del sol l antica madre Scorse per gli occhi a l intelletto un zelo Si soave si novo alto e honesto C hebbe poter di sollevarlo al cielo Restaro invan pensier nel cuor gia desto Co i desir chiusi come in un bel velo Onde io allhor dissi Ahime che mondo e questo
AntonGiacomoCorso_15,AntonGiacomoCorso_New_Euro che in questa vaga humida valle.txt,AntonGiacomoCorso,Euro che in questa vaga humida valle Soavemente mormorando spiri Dove la Brenta in dilettevol giri Bagna le rive sue vermiglie e gialle E per erto sassoso alpestre Calle Densa nebbia soffiando al monte tiri In cui languendo in tenebre e in martiri Io pero quando al ciel volgho le spalle Deh se l alto amator di Diopea Ti si renda benigno al ben Piceno Porta col fiato tuo queste parole DAMON il buon Damon di doglia rea Oppresso in tristo humor stilla e vien meno Da te lontano e questo sol gli duole
