classifier,author,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
kNN,Franco,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5792216999546466,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.6958652512483158,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.7084321449885794,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5976300364677073,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5299481842216277,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.49217470816455594,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.6525476989952125,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4719377069686166,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5643279562551236,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.7360269098401698,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5293983192503481,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5331896975476287,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4880504522562981,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5478149737344334,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.47598975438148977,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.47145251946450806,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.48295919612246335,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5662345532941719,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.48338937068605436,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4798866770384939,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4947203924593991,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4947203924593991,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4947203924593991,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4947203924593991,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4951298445023285,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4951298445023285,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.4930521570587874,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.49388935789598826,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5431506458081258,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.590967274795422,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.44972578069443875,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.5163132066062672,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.39019544235829434,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.44639037001227116,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.66335256668729,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.592800192962699,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47510537705872796,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.5051221245383682,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47510537705872796,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47510537705872796,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4773107964062738,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.5075365230605718,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4773107964062738,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.5118856288950181,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47598975438148977,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47510077960131786,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47598975438148977,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.47598975438148977,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.48338937068605436,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.48338937068605436,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.48338937068605436,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.48338937068605436,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4947203924593991,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4947203924593991,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4947203924593991,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4947203924593991,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4951298445023285,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4951298445023285,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4951298445023285,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4951298445023285,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4246075715604802,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.3457622240859795,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.4882997314039012,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.44311648350514626,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.5312104478520141,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.6478760967979538,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.669390466127941,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.5921356421356421,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.47510537705872796,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.5194224632057954,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.47510537705872796,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.47510537705872796,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.5057731694978029,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4773107964062738,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4773107964062738,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.5237197909420926,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.474652890522022,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.47598975438148977,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.47598975438148977,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4755463951319879,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.48338937068605436,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.48338937068605436,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.48338937068605436,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.48338937068605436,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4947203924593991,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4947203924593991,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4947203924593991,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4947203924593991,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4951298445023285,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4951298445023285,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4951298445023285,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4951298445023285,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.40776047786973235,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4536758710337263,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4980604210085593,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.4246075715604802,Split
kNN,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.5792216999546466,Split
Logit,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.6958652512483158,Split
SVM,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.7084321449885794,Split
RandomForest,Franco,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.588655898488775,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.5299481842216277,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.6525476989952125,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.49217470816455594,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.4728543885811791,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.5643279562551236,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.7360269098401698,Split
