label,poem,prediction
UA11_1,Invero una tu sei Verona bella poi che la mia Veronica gentile con l unica bellezza sua t abbella Quella a cui non fu mai pari o simile d Adria ninfa leggiadra hor col bel viso t apporta a mezzo l verno un lieto aprile anzi ti fa nel mondo un paradiso il sol del volto e degli occhi le stelle e l tranquillo seren del vago riso ma l intelletto che si chiaro dielle il celeste Motor a sua sembianza unito in lei con l altre cose belle quegli altri pregi in modo sopravanza che l human veder nostro non perviene,3
UA11_2,a mirar tal virtute in tal distanza A pena l occhio corporal sostiene lo splendor de la fronte in cui mirando abbagliato e confuso ne diviene questa la donna mia dolce girando l aria fa tutta sfavillar d intorno e pon le nubi e le tempeste in bando Di rose e di viole il mondo adorno rende l lume del ciglio con cui lieta primavera perpetua fa soggiorno Oime qual empio influsso di pianeta unica di quest occhi e vera luce subito mi t asconde e mi ti vieta Chi l nostro paradiso altrove adduce,0
UA11_3,Adria meco percio dogliosa e trista che n tenebre il di nostro si riduce Ogni altro oggetto lasso me m attrista hor che del vago mio splendor celeste mi si contende la bramata vista Ben del pensier con l egre luci e meste scorgo Verona invidiosamente che de miei danni lieta si riveste Veggo lasso e rivolgo con la mente ne l altrui gioia e ne l altrui diletto via piu grave l mio danno espressamente Adria per costei fosti almo ricetto di tutto l ben ch a noi dal ciel deriva quant ei ne suol piu dar sommo e perfetto,13
UA11_4,hor di lei tosto indegnamente priva per questa del tuo lido antica sponda torbido l mar risuona in ogni riva Ben tanto piu si fa lieta e gioconda Verona e di fiorito e dolce maggio nel maggior nostro verno e ghiaccio abonda Quivi del mio bel sol l amato raggio spiega le tante sue bellezze eterne che d ir al cielo insegnano il viaggio Per virtu di tal lume in lei si scerne vestir le piante di novel colore e giunger forza a le radici interne L aura soave e l pretioso odore che da le rose de la bocca spira,2
UA11_5,questa figlia di Pallade e d Amore nutrimento vital per tutto inspira si ch a quel refrigerio in un momento tutto risorge e rinasce e respira e de la voce angelica il concento i fiumi affrena e i monti ad udir move e l ciel si ferma ad ascoltarla intento il ciel che in Adria piange e ride altrove la ve la dolce mia terrena dea gratia e dolcezza dal bel ciglio piove e quel ricetto estremamente bea dov ella alberga per destin felice d un altro amante e per mia stella rea Altri del mio penar buon frutto elice,1
UA11_6,del mio bel sol la luce altri si gode e io qui piango nudo e infelice Ma s ella l mio dolor intende e ode perch a levarmi l affamato verme non vien dal cor che si l consuma e rode E se non m ode o mie speranze inferme poi che l ciel chiude a miei sospir la strada contra cui vano e quanto huom mai si scherme Ma tu si aventurosa alma contrada ch a pena un tanto ben capi e ricevi qual chi confuso in gran dolcezza cada d Adria i diletti a fuggir pronti e lievi mira e dal nostro danno accorta stima il volar de tuoi di fugaci e brevi,6
UA11_7,Hor ti vedi riposta ad alta cima ne pensi forse come d alto grado le cose eccelse la fortuna adima stabil non e di qua giu l bene e rado piu d un momento dura e l pianto e l duolo trova per mezzo l allegrezza il guado Ma pur felice aventuroso suolo che quel momento al goder nostro dato possiedi un ben cosi perfetto e solo Pian poggio fonte e bosco fortunato ch a un guardo a un sol toccar del vago piede forma prendete di celeste stato l alto e novo miracol che n voi siede a farvi basti in tanto spatio eterno,1
UA11_8,tutto quel ben ch al suo venir vi diede si che mai non v offenda o ghiaccio o verno ned altro influsso rio ma sempre in voi sia la stagion de fior lieta in eterno pur che tosto colei ritorni a noi al nido ov ella nacque che senz essa mena tristi ed oscuri i giorni suoi Deh torna luce mia del raggio impressa de la divinita qui dove mai pianger la tua partita non si cessa Tempo e di ritornar madonna homai a consolar de la vostr alma vista di questa patria i desiosi rai a dar a la mia mente inferma e trista,27
UA11_9,col dolce oggetto del bel vostro lume rimedio contra l duol che si l attrista e se troppo l mio cor di voi presume datemi in pena che del vago volto da vicin lo splendor m arda e consume ne de begli occhi altrove sia rivolto il doppio sol fin che n polve minuta non mi vediate dal mio incendio volto e per farlo affrettate la venuta,4
UA14_1,Non piu guerra ma pace e gli odi e l ire e quanto fu di disparer tra noi si venga in amor doppio a convertire La mia causa io rimetto in tutto a voi con patto che per fin de le contese amici piu che mai restiamo poi non mi basta che l armi sian sospese ma per stabilimento de la pace d ogni parte si lievino l offese Che nascesse tra noi rissa mi spiace ma se lo sdegno in amor s augumenta che tra noi si sdegnassimo mi piace e se pur ragion vuol ch io mi risenta e vendicata sia l ingiuria mia,42
