classifier,author,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.6496881959820752,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5186899141465663,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48666031625071443,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48666031625071443,Split
Logit,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4988772115667161,Split
SVM,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4988772115667161,Split
kNN,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4988772115667161,Split
RandomForest,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4988772115667161,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5340653902173944,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4868965517241379,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4868965517241379,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4864240807772909,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5970115775405705,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.49709373225473125,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4802047114896277,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5948023295752262,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4968437991442051,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
Logit,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.7137630644651373,Split
kNN,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.508608755109281,Split
SVM,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48877669785510225,Split
RandomForest,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48877669785510225,Split
Logit,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5461328195712775,Split
kNN,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.49387755102040815,Split
SVM,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.49387755102040815,Split
RandomForest,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.49387755102040815,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4970705482207512,Split
Logit,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5949187063272456,Split
kNN,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5139240172415298,Split
SVM,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4838110648790261,Split
RandomForest,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4838110648790261,Split
Logit,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.6483988260104515,Split
kNN,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.47381580249417277,Split
SVM,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4632027180377199,Split
RandomForest,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.46294414552481217,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.6090723320616168,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4906923638798539,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4537730275226644,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.44477611940298506,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.6626893652579505,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5308184353751986,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5160853958718624,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5282141668772375,Split
Logit,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5555426670978758,Split
kNN,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.4883081155433288,Split
SVM,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48854240669921545,Split
RandomForest,ValerioSali,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48854240669921545,Split
Logit,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.6752993653234408,Split
kNN,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5053103588012172,Split
SVM,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.5359680388507866,Split
RandomForest,VeronicaFranco,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.48085898703467017,Split
Logit,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48666031625071443,Split
kNN,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5035511526004953,Split
SVM,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48666031625071443,Split
RandomForest,AntonGiacomoCorso,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48666031625071443,Split
Logit,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
kNN,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
SVM,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
RandomForest,BartolomeoZacco,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4988772115667161,Split
Logit,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4868965517241379,Split
kNN,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4859496466547644,Split
SVM,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4868965517241379,Split
RandomForest,CelioMagno,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4864240807772909,Split
Logit,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4802047114896277,Split
kNN,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5027729088581016,Split
SVM,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4802047114896277,Split
RandomForest,DomenicoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5857374356255362,Split
Logit,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
kNN,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
SVM,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
RandomForest,GiorgioGradenigo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
Logit,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48877669785510225,Split
kNN,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5446502911996195,Split
SVM,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48877669785510225,Split
RandomForest,MaffioVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.48877669785510225,Split
Logit,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
kNN,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
SVM,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
RandomForest,MarcoStecchini,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.49387755102040815,Split
Logit,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
kNN,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
SVM,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
RandomForest,MarcoVenier,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4970705482207512,Split
Logit,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4838110648790261,Split
kNN,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4976845207463177,Split
SVM,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4838110648790261,Split
RandomForest,MuzioManfredi,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4973684748620271,Split
Logit,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46346129055062774,Split
kNN,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.5258993104726933,Split
SVM,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46346129055062774,Split
RandomForest,OrsattoGiustinian,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46294414552481217,Split
Logit,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44477611940298506,Split
kNN,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.46692590173135,Split
SVM,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44477611940298506,Split
RandomForest,Petrarca,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.44449947571559245,Split
Logit,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4809300078695371,Split
kNN,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.522313822466778,Split
SVM,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4809300078695371,Split
RandomForest,PietroBembo,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.4926482453246268,Split
