classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
kNN,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.11386139903652442,Split
Logit,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.24976789564013865,Split
SVM,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.14110873565471327,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,None,259,StandardScaler,0.12483518064467451,Split
kNN,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.1426875507185729,Split
Logit,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.04326688100115539,Split
SVM,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.13711964563887166,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,None,259,L1,0.11594364204694746,Split
kNN,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.16343867458511013,Split
Logit,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.13478385868351717,Split
SVM,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.13973595845660405,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,None,259,L2,0.12352607726881365,Split
kNN,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.11386139903652442,Split
Logit,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.24976789564013865,Split
SVM,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.14110873565471327,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,1000,259,StandardScaler,0.13671042931659402,Split
kNN,Count,Char,Bigrams,0.8,0.0,1000,259,L1,0.1426875507185729,Split
Logit,Count,Char,Bigrams,0.8,0.0,1000,259,L1,0.04326688100115539,Split
SVM,Count,Char,Bigrams,0.8,0.0,1000,259,L1,0.13711964563887166,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,1000,259,L1,0.13184155816581175,Split
kNN,Count,Char,Bigrams,0.8,0.0,1000,259,L2,0.16343867458511013,Split
Logit,Count,Char,Bigrams,0.8,0.0,1000,259,L2,0.13478385868351717,Split
SVM,Count,Char,Bigrams,0.8,0.0,1000,259,L2,0.13973595845660405,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,1000,259,L2,0.1197900938367078,Split
kNN,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.12162464982377012,Split
Logit,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.21523662188505235,Split
SVM,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.14453114169289685,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.12634693438049885,Split
kNN,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.13598196084317693,Split
Logit,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.04416182724180983,Split
SVM,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.13534118336305576,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.11821521700984455,Split
kNN,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.16243738384269246,Split
Logit,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.13495610529627544,Split
SVM,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.1394555042091361,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.12592377792601228,Split
kNN,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.12162464982377012,Split
Logit,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.21523662188505235,Split
SVM,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.14453114169289685,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.12160170408052257,Split
kNN,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.13598196084317693,Split
Logit,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.04416182724180983,Split
SVM,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.13534118336305576,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.11453488067770247,Split
kNN,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.16243738384269246,Split
Logit,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.13495610529627544,Split
SVM,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.1394555042091361,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.1173397774039131,Split
kNN,Count,Char,Bigrams,0.8,0.2,None,137,StandardScaler,0.13060896114550327,Split
Logit,Count,Char,Bigrams,0.8,0.2,None,137,StandardScaler,0.23403888185600477,Split
SVM,Count,Char,Bigrams,0.8,0.2,None,137,StandardScaler,0.14595203236201393,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,None,137,StandardScaler,0.12513987576605254,Split
kNN,Count,Char,Bigrams,0.8,0.2,None,137,L1,0.15398325623312625,Split
Logit,Count,Char,Bigrams,0.8,0.2,None,137,L1,0.04556885228510766,Split
SVM,Count,Char,Bigrams,0.8,0.2,None,137,L1,0.13755730335486827,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,None,137,L1,0.12301534569027078,Split
kNN,Count,Char,Bigrams,0.8,0.2,None,137,L2,0.15240716986689282,Split
Logit,Count,Char,Bigrams,0.8,0.2,None,137,L2,0.13622520548237574,Split
SVM,Count,Char,Bigrams,0.8,0.2,None,137,L2,0.13913675438429782,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,None,137,L2,0.11890082462294706,Split
kNN,Count,Char,Bigrams,0.8,0.2,1000,137,StandardScaler,0.13060896114550327,Split
Logit,Count,Char,Bigrams,0.8,0.2,1000,137,StandardScaler,0.23403888185600477,Split
SVM,Count,Char,Bigrams,0.8,0.2,1000,137,StandardScaler,0.14595203236201393,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,1000,137,StandardScaler,0.12369617852047095,Split
kNN,Count,Char,Bigrams,0.8,0.2,1000,137,L1,0.15398325623312625,Split
Logit,Count,Char,Bigrams,0.8,0.2,1000,137,L1,0.04556885228510766,Split
SVM,Count,Char,Bigrams,0.8,0.2,1000,137,L1,0.13755730335486827,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,1000,137,L1,0.1170772146341506,Split
kNN,Count,Char,Bigrams,0.8,0.2,1000,137,L2,0.15240716986689282,Split
Logit,Count,Char,Bigrams,0.8,0.2,1000,137,L2,0.13622520548237574,Split
SVM,Count,Char,Bigrams,0.8,0.2,1000,137,L2,0.13913675438429782,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,1000,137,L2,0.11078515643182747,Split
kNN,Count,Char,Bigrams,0.9,0.0,None,294,StandardScaler,0.12825419901981025,Split
Logit,Count,Char,Bigrams,0.9,0.0,None,294,StandardScaler,0.27862546639764457,Split
SVM,Count,Char,Bigrams,0.9,0.0,None,294,StandardScaler,0.15698568928746354,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,None,294,StandardScaler,0.12543359505182897,Split
kNN,Count,Char,Bigrams,0.9,0.0,None,294,L1,0.16587144062073217,Split
Logit,Count,Char,Bigrams,0.9,0.0,None,294,L1,0.048369429328957526,Split
SVM,Count,Char,Bigrams,0.9,0.0,None,294,L1,0.16944795027641632,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,None,294,L1,0.1429998471743881,Split
kNN,Count,Char,Bigrams,0.9,0.0,None,294,L2,0.17253205289312604,Split
Logit,Count,Char,Bigrams,0.9,0.0,None,294,L2,0.1389094359576278,Split
SVM,Count,Char,Bigrams,0.9,0.0,None,294,L2,0.1739147282313601,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,None,294,L2,0.12947843294431127,Split
kNN,Count,Char,Bigrams,0.9,0.0,1000,294,StandardScaler,0.12825419901981025,Split
Logit,Count,Char,Bigrams,0.9,0.0,1000,294,StandardScaler,0.27862546639764457,Split
SVM,Count,Char,Bigrams,0.9,0.0,1000,294,StandardScaler,0.15698568928746354,Split
RandomForest,Count,Char,Bigrams,0.9,0.0,1000,294,StandardScaler,0.12963157145141566,Split
kNN,Count,Char,Bigrams,0.9,0.0,1000,294,L1,0.16587144062073217,Split
