classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
kNN,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.1991120976475221,Split
Logit,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.34801025689537113,Split
SVM,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.17063459596892963,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,None,243,StandardScaler,0.1586491259326749,Split
kNN,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.09598116127473699,Split
Logit,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.14394147358569345,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,None,243,L1,0.14481564163282223,Split
kNN,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.14127187882486975,Split
Logit,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.14807270735291156,Split
SVM,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.14795390465791472,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,None,243,L2,0.13535038550423006,Split
kNN,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.1991120976475221,Split
SVM,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.17063459596892963,Split
Logit,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.34801025689537113,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,1000,243,StandardScaler,0.16436969550162014,Split
kNN,Count,Char,Bigrams,0.8,0.0,1000,243,L1,0.09598116127473699,Split
Logit,Count,Char,Bigrams,0.8,0.0,1000,243,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.8,0.0,1000,243,L1,0.14394147358569345,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,1000,243,L1,0.15012801512025736,Split
kNN,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.14127187882486975,Split
Logit,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.14807270735291156,Split
SVM,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.14795390465791472,Split
RandomForest,Count,Char,Bigrams,0.8,0.0,1000,243,L2,0.14554644780660356,Split
kNN,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.16748184507230124,Split
SVM,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.14814533862324855,Split
Logit,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.2723961829001719,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,None,157,StandardScaler,0.14998007829072726,Split
kNN,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.10105379341906567,Split
Logit,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.14479032467326147,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,None,157,L1,0.1433301580535484,Split
kNN,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.14624764551177494,Split
Logit,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.1476447728369847,Split
SVM,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.1470521986271713,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,None,157,L2,0.14456848898081598,Split
kNN,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.16748184507230124,Split
SVM,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.14814533862324855,Split
Logit,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.2723961829001719,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,1000,157,StandardScaler,0.14968726435473542,Split
kNN,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.10105379341906567,Split
Logit,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.14479032467326147,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,1000,157,L1,0.1459778794513538,Split
kNN,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.14624764551177494,Split
Logit,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.1476447728369847,Split
SVM,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.1470521986271713,Split
RandomForest,Count,Char,Bigrams,0.8,0.1,1000,157,L2,0.14427044928252072,Split
kNN,Count,Char,Bigrams,0.8,0.2,None,138,StandardScaler,0.16126493157838287,Split
SVM,Count,Char,Bigrams,0.8,0.2,None,138,StandardScaler,0.14937978464944598,Split
Logit,Count,Char,Bigrams,0.8,0.2,None,138,StandardScaler,0.24703708023521562,Split
RandomForest,Count,Char,Bigrams,0.8,0.2,None,138,StandardScaler,0.16163129158909748,Split
